player_name,Total_Wickets,Total_Overs,Total_Runs,Wickets_Per_Over,Runs_Per_Wicket
CJ Chibhabha,30,1417,1379,0.021,45.97
K Birkenstock,5,236,230,0.021,46.0
GH Lewis,8,390,373,0.021,46.62
TL Chivanga,4,189,187,0.021,46.75
RK Whelan,2,95,105,0.021,52.5
DR Brown,3,140,163,0.021,54.33
RP Lefebvre,4,199,126,0.02,31.5
C de Lange,12,611,416,0.02,34.67
R Slater,1,51,35,0.02,35.0
D Langford-Smith,10,489,362,0.02,36.2
D Elgar,2,98,74,0.02,37.0
LE Milliken,1,49,37,0.02,37.0
GC Tonge,6,307,229,0.02,38.17
Diana Baig,43,2121,1683,0.02,39.14
CJA Amini,33,1620,1298,0.02,39.33
R Klein,12,615,496,0.02,41.33
RD Berrington,15,762,647,0.02,43.13
NJ Astle,8,404,346,0.02,43.25
Mahmudullah,83,4086,3605,0.02,43.43
SK Raina,42,2147,1832,0.02,43.62
J Mubarak,1,51,44,0.02,44.0
AC Agar,22,1107,970,0.02,44.09
GJ Maxwell,78,3812,3441,0.02,44.12
Mukesh Kumar,5,249,221,0.02,44.2
MM Ali,119,5935,5303,0.02,44.56
F Hand,1,49,45,0.02,45.0
AC Cummins,4,203,181,0.02,45.25
AR Nurse,44,2187,2009,0.02,45.66
SR Tendulkar,31,1545,1420,0.02,45.81
KP Pietersen,8,403,368,0.02,46.0
MD Gunathilaka,8,405,375,0.02,46.88
K Gowtham,1,50,51,0.02,51.0
H Karunaratne,2,101,103,0.02,51.5
SA Millanta,3,153,164,0.02,54.67
Marina Iqbal,1,49,62,0.02,62.0
Qanita Jalil,6,323,171,0.019,28.5
Mohammad Hafeez,142,7303,5081,0.019,35.78
HN Ya France,14,726,556,0.019,39.71
CG Williams,5,264,201,0.019,40.2
HASD Siriwardene,32,1695,1341,0.019,41.91
Nahid Rana,2,104,86,0.019,43.0
Shahbaz Ahmed,3,156,129,0.019,43.0
TM Dilshan,97,5141,4197,0.019,43.27
MO Odumbe,7,364,307,0.019,43.86
SW Bates,25,1326,1098,0.019,43.92
MM Penfold,10,540,447,0.019,44.7
TLW Cooper,6,315,282,0.019,47.0
G Onions,4,215,189,0.019,47.25
E Mbofana,5,269,250,0.019,50.0
TS Nethula,5,268,250,0.019,50.0
H Patel,2,107,102,0.019,51.0
T Granger,2,108,112,0.019,56.0
JW Wilson,1,54,68,0.019,68.0
SG Borthwick,1,54,72,0.019,72.0
ID Blackwell,15,846,567,0.018,37.8
D Soraine,1,55,38,0.018,38.0
Sania Khan,2,111,76,0.018,38.0
Bismah Maroof,12,666,498,0.018,41.5
KDU Prabodhani,27,1485,1130,0.018,41.85
JN Mohammed,8,442,342,0.018,42.75
Nasum Ahmed,14,778,613,0.018,43.79
Imad Wasim,44,2388,1936,0.018,44.0
D Bishoo,38,2056,1675,0.018,44.08
DJG Sammy,87,4891,3842,0.018,44.16
MN Samuels,66,3692,2952,0.018,44.73
NE Farrant,4,218,179,0.018,44.75
N Mlaba,24,1365,1083,0.018,45.12
SF Daley,9,507,411,0.018,45.67
WP Masakadza,22,1200,1030,0.018,46.82
PR Stirling,26,1485,1227,0.018,47.19
BMSM Kumari,18,1024,872,0.018,48.44
RG Sharma,11,614,538,0.018,48.91
JL Pattinson,13,705,652,0.018,50.15
K Phillip,3,171,159,0.018,53.0
H Masakadza,22,1249,1174,0.018,53.36
CT Mutombodzi,5,282,271,0.018,54.2
Zahid Mahmood,4,218,221,0.018,55.25
MW Machan,4,226,223,0.018,55.75
DO Leicher,1,57,56,0.018,56.0
C Prathyusha,1,56,60,0.018,60.0
TJ Friend,1,57,69,0.018,69.0
S Dhakal,4,229,149,0.017,37.25
TMM Newton,6,354,251,0.017,41.83
FC Jonas,18,1077,820,0.017,45.56
JWM Dalrymple,15,868,686,0.017,45.73
MP Vaughan,9,522,429,0.017,47.67
AJ Finch,5,287,259,0.017,51.8
S Prasanna,33,1936,1742,0.017,52.79
SC Meaker,2,117,113,0.017,56.5
Ehsan Adil,4,229,229,0.017,57.25
F Behardien,12,716,694,0.017,57.83
GJ Delany,6,351,374,0.017,62.33
Bilawal Bhatti,7,420,448,0.017,64.0
Ahmed Shehzad,2,116,140,0.017,70.0
A van der Merwe,2,126,79,0.016,39.5
RT Lyons,1,62,41,0.016,41.0
EC Rainsford,17,1070,805,0.016,47.35
D Ravu,10,608,503,0.016,50.3
CP Rizwan,1,61,51,0.016,51.0
MH Yardy,20,1289,1052,0.016,52.6
LJ Wright,17,1050,910,0.016,53.53
C Munro,9,563,483,0.016,53.67
MN Waller,9,580,497,0.016,55.22
Mosaddek Hossain,16,1016,904,0.016,56.5
