player_name,Overall_Strike_Rate
TM Dowlin,62.98342541
MA Carberry,62.98342541
SS Weerakkody,62.95585413
GB Brent,62.95081967
RD Shah,62.9057187
SE Findlay,62.85714286
DC Thomas,62.79683377
Musa Ahmed,62.79683377
Ehsan Adil,62.79069767
Chirag Suri,62.77173913
Najiha Alvi,62.73062731
AK Perera,62.65060241
Y Venugopal Rao,62.6459144
AB Barath,62.6391097
Aarif Sheikh,62.62135922
DR Brown,62.60869565
Mahedi Hasan,62.56410256
AR Cusack,62.55924171
N Deonarine,62.54295533
JA Simpson,62.5
GC Tonge,62.5
GE Plimmer,62.43902439
VV Morea,62.28070175
S Verma,62.21198157
BOP Fernando,62.18487395
Yasir Arafat,62.13592233
K Zondo,62.12765957
JF Kloppenburg,62.08333333
L Winfield-Hill,62.02531646
Ghulam Shabber,62.01117318
Rohan Mustafa,61.96373286
D Bishoo,61.88679245
JH Davey,61.85897436
V Sukumaran,61.78343949
A Bagai,61.70854271
Umaima Sohail,61.69429098
DW Steyn,61.65540541
Raqibul Hasan,61.62303665
CJA Amini,61.61812298
TD Smartt,61.53846154
Javeria Khan,61.51157711
SJ Modani,61.50684932
N Chaiwai,61.30653266
V Sibanda,61.29218344
IDR Bradshaw,61.22931442
A Steyn,61.11111111
PG Raut,61.10638298
AL Kandappah,61.00628931
Batool Fatima,60.95238095
MC Henriques,60.9375
LR Down,60.82603254
GB Murgatroyd,60.81081081
M De Ridder,60.81081081
NE Bonner,60.71428571
ADS Fletcher,60.6361829
CE Coulter Reilly,60.57692308
G Kodali,60.52631579
Dhiman Ghosh,60.48780488
AR White,60.44176707
CAK Walton,60.22727273
Shaila Sharmin,60.20408163
DS Bajwa,60.16260163
AA Alleyne,60.03521127
S Sriram,60.0
ST Doheny,60.0
AA Paradkar,60.0
Shorna Akter,60.0
PJ Ongondo,60.0
R Murray,60.0
SA Campbelle,59.90759754
L Goodall,59.8973607
B Bhandari,59.81941309
Nazimuddin,59.75609756
D Keulder,59.72850679
U Raymond-Hoey,59.67741935
IC Gaze,59.66101695
S Jimmy,59.5959596
T Kaitano,59.46969697
A Maregwede,59.34065934
DP Hyatt,59.25925926
AM Samad,59.16230366
WP Masakadza,59.13043478
DA Minors,59.09090909
GM Harris,59.09090909
HP Tillakaratne,59.0747331
Y van der Westhuizen,58.97435897
S Bau,58.93459204
Mohammad Iqbal,58.92857143
Muneeba Ali,58.91858297
Mukesh Kumar,58.82352941
N Mlaba,58.82352941
RS Vandort,58.82352941
JW Ogle-Thomas,58.82352941
SF Daley,58.75
R Stokell,58.66983373
Mohammad Naim,58.58585859
D Bau,58.55855856
VR Iyer,58.53658537
PS Athavale,58.52272727
CS Terblanche,58.46153846
M Terblanche,58.39416058
Ayasha Rahman,58.37320574
B Cooper,58.34767642
BYA Mendis,58.33333333
KD Shah,58.33333333
ES Szwarczynski,58.29875519
L Louwrens,58.2788671
UT Yadav,58.08823529
Jamaluddin Ahmed,58.06451613
HMD Rasangika,58.0
Shamim Hossain,57.89473684
PRP Boissevain,57.89473684
S Siegers,57.89473684
NR Kumar,57.84313725
HM Watson,57.69230769
KM Dabengwa,57.68621236
JP Greaves,57.66423358
J Anderson,57.56097561
SJ Baard,57.49559083
D Elgar,57.45856354
WK McCallan,57.38636364
N Dutta,57.37704918
O Kamchomphu,57.37704918
SL Quintyne,57.35294118
IS Billcliff,57.32647815
S Mostary,57.28900256
CP Rizwan,57.27908455
AJ Redmond,57.14285714
Iram Javed,56.84210526
Steven Ryan Taylor,56.79012346
LA Marsh,56.77419355
GWHM Perera,56.75446049
GM Hamilton,56.72131148
RS Gavaskar,56.70731707
RM Jariwala,56.60377358
MAA Sanjeewani,56.509299
DLS van Bunge,56.45472062
E Schiferli,56.42857143
NS Dhaliwal,56.40535373
Sharmin Akhter,56.40350877
MR Meshram,56.39229422
AM Bacher,56.35359116
Shamima Sultana,56.2962963
CJ Smith,56.25
